Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,27.799999,27.889999,27.000000,27.230000,24.537766,171300
2021-01-05,27.480000,27.940001,27.430000,27.889999,25.132511,95700
2021-01-06,27.650000,28.180000,27.459999,28.030001,25.258669,116700
2021-01-07,27.680000,27.799999,27.370001,27.520000,24.799095,87100
2021-01-08,27.480000,27.590000,27.219999,27.459999,24.745026,1114300
2021-01-11,26.980000,27.209999,26.809999,26.830000,24.177313,1144500
2021-01-12,27.070000,27.250000,26.940001,27.230000,24.537766,1118800
2021-01-13,27.100000,27.230000,26.940001,27.030001,24.357540,1043400
2021-01-14,27.500000,27.709999,27.280001,27.680000,24.943274,149900
2021-01-15,27.129999,27.500000,26.850000,27.120001,24.438643,97600
2021-01-19,26.889999,27.090000,26.610001,26.680000,24.042147,117100
2021-01-20,26.879999,27.150000,26.850000,27.129999,24.447655,650700
2021-01-21,26.840000,26.889999,26.490000,26.590000,23.961044,857400
2021-01-22,26.270000,26.700001,26.270000,26.490000,23.870930,196100
2021-01-25,26.020000,26.219999,25.850000,26.190001,23.600592,114300
2021-01-26,26.230000,26.240000,25.950001,26.219999,23.627625,236800
2021-01-27,26.400000,26.719999,26.049999,26.100000,23.519489,119100
2021-01-28,26.330000,26.340000,26.000000,26.160000,23.573559,185500
2021-01-29,25.799999,26.020000,25.400000,25.629999,23.095957,111600
2021-02-01,25.879999,26.110001,25.650000,25.980000,23.411352,160900
2021-02-02,25.910000,26.469999,25.910000,26.309999,23.708725,59500
2021-02-03,25.840000,26.139999,25.799999,25.969999,23.402342,194200
2021-02-04,26.100000,26.379999,26.100000,26.270000,23.672684,538100
2021-02-05,26.180000,26.420000,26.010000,26.240000,23.645647,88700
2021-02-08,26.320000,26.410000,26.070000,26.129999,23.546524,127200
2021-02-09,26.549999,26.700001,26.219999,26.549999,23.924997,114000
2021-02-10,26.670000,26.790001,26.440001,26.700001,24.060167,193200
2021-02-11,26.780001,26.879999,26.469999,26.650000,24.015110,302900
2021-02-12,26.670000,26.870001,26.540001,26.870001,24.213360,199600
2021-02-16,27.240000,27.320000,27.040001,27.049999,24.375565,587200
2021-02-17,26.670000,26.980000,26.600000,26.809999,24.159292,1641200
2021-02-18,26.730000,26.730000,26.299999,26.440001,23.825871,512000
2021-02-19,26.280001,26.719999,26.000000,26.080000,23.501467,118500
2021-02-22,26.139999,26.870001,26.139999,26.570000,23.943020,67400
2021-02-23,27.639999,27.860001,27.250000,27.459999,24.745026,86100
2021-02-24,27.920000,28.389999,27.879999,28.389999,25.583078,72400
2021-02-25,28.420000,28.809999,28.000000,28.100000,25.321751,250600
2021-02-26,27.320000,27.629999,27.100000,27.299999,24.600845,349000
2021-03-01,27.650000,27.799999,27.350000,27.520000,24.799095,67100
2021-03-02,28.030001,28.370001,27.809999,28.100000,25.321751,64200
2021-03-03,27.879999,28.420000,27.750000,27.990000,25.222624,84400
2021-03-04,28.120001,28.230000,27.400000,27.520000,24.799095,77600
2021-03-05,27.299999,27.370001,26.639999,27.370001,24.663925,340300
2021-03-08,27.320000,27.660000,27.110001,27.320000,24.618868,270200
2021-03-09,27.850000,28.040001,27.660000,28.010000,25.240648,261300
2021-03-10,28.120001,28.250000,27.799999,28.049999,25.276693,623600
2021-03-11,27.540001,28.040001,27.490000,27.870001,25.114491,653100
2021-03-12,27.709999,28.350000,27.670000,28.330000,25.529011,237800
2021-03-15,28.510000,28.740000,28.340000,28.740000,25.898472,325600
2021-03-16,28.330000,28.580000,28.059999,28.389999,25.583078,321600
2021-03-17,28.110001,28.490000,28.000000,28.350000,25.547033,158600
2021-03-18,27.980000,28.080000,27.680000,27.680000,24.943274,110100
2021-03-19,27.480000,27.610001,27.290001,27.370001,24.663925,166400
2021-03-22,27.100000,27.379999,27.000000,27.370001,24.663925,219100
2021-03-23,27.490000,28.080000,27.309999,27.639999,24.907228,136000
2021-03-24,27.639999,28.030001,27.480000,27.590000,24.862171,176100
2021-03-25,27.219999,27.530001,27.049999,27.510000,24.790081,76700
2021-03-26,27.530001,27.700001,27.299999,27.510000,24.790081,43000
2021-03-29,27.760000,27.920000,27.639999,27.820000,25.069433,53700
2021-03-30,27.980000,28.670000,27.980000,28.500000,25.682199,1055900
2021-03-31,28.160000,28.440001,27.990000,28.299999,25.501974,1151900
2021-04-01,28.680000,28.740000,28.360001,28.629999,25.799345,874800
2021-04-05,28.590000,29.270000,28.590000,29.040001,26.168812,119400
2021-04-06,28.980000,29.270000,28.830000,29.090000,26.213867,303400
2021-04-07,29.309999,29.360001,29.070000,29.270000,26.376070,73500
2021-04-08,29.209999,29.309999,29.040001,29.129999,26.249912,394300
2021-04-09,28.959999,28.959999,28.400000,28.570000,25.745279,568200
2021-04-12,28.040001,28.070000,27.750000,27.780001,25.033388,1263200
2021-04-13,27.500000,27.840000,27.459999,27.690001,24.952286,117900
2021-04-14,28.389999,28.570000,28.309999,28.389999,25.583078,102100
2021-04-15,28.379999,29.049999,28.379999,29.000000,26.132765,75800
2021-04-16,28.770000,29.129999,28.770000,29.020000,26.150787,56900
2021-04-19,29.150000,29.549999,29.020000,29.500000,26.583330,405400
2021-04-20,29.030001,29.270000,28.879999,29.200001,26.312992,345200
2021-04-21,29.209999,29.760000,29.200001,29.650000,26.718502,125800
2021-04-22,27.770000,28.150000,27.629999,27.650000,25.600948,205100
2021-04-23,27.820000,27.879999,27.570000,27.750000,25.693539,105500
2021-04-26,27.750000,27.799999,27.650000,27.730000,25.675020,1369800
2021-04-27,27.540001,27.760000,27.510000,27.629999,25.582428,88800
2021-04-28,27.660000,27.860001,27.660000,27.760000,25.702795,155900
2021-04-29,27.860001,28.500000,27.680000,28.170000,26.082413,175400
2021-04-30,28.230000,28.320000,28.090000,28.150000,26.063892,193700
2021-05-03,28.100000,28.549999,27.870001,28.469999,26.360178,71400
2021-05-04,28.090000,28.139999,27.780001,28.129999,26.045378,88400
2021-05-05,27.980000,28.049999,27.840000,27.969999,25.897234,288600
2021-05-06,28.090000,28.490000,27.959999,28.290001,26.193520,188700
2021-05-07,28.309999,28.719999,28.290001,28.680000,26.554619,94700
2021-05-10,28.780001,29.190001,28.780001,29.059999,26.906460,87700
2021-05-11,28.480000,28.850000,28.400000,28.850000,26.712021,66300
2021-05-12,28.879999,28.990000,28.570000,28.639999,26.517580,300300
2021-05-13,28.480000,28.820000,28.450001,28.680000,26.554619,193200
2021-05-14,29.309999,29.950001,29.309999,29.809999,27.600878,129900
2021-05-17,29.730000,29.900000,29.570000,29.860001,27.647173,62600
2021-05-18,29.760000,29.760000,29.600000,29.730000,27.526804,98700
2021-05-19,29.360001,29.860001,29.290001,29.740000,27.536064,252300
2021-05-20,29.430000,29.559999,29.330000,29.559999,27.369402,111700
2021-05-21,29.680000,29.840000,29.469999,29.629999,27.434216,93400
2021-05-24,29.629999,29.709999,29.510000,29.660000,27.461992,219100
2021-05-25,29.680000,29.709999,29.469999,29.549999,27.360142,82600
2021-05-26,29.760000,29.910000,29.620001,29.719999,27.517548,162200
2021-05-27,30.240000,30.290001,29.820000,30.010000,27.786057,200300
2021-05-28,30.049999,30.080000,29.879999,29.900000,27.684206,56300
2021-06-01,30.150000,30.219999,29.920000,29.950001,27.730503,179000
2021-06-02,30.129999,30.219999,29.959999,30.120001,27.887905,43600
2021-06-03,30.070000,30.299999,29.879999,30.049999,27.823092,43700
2021-06-04,30.240000,30.299999,30.080000,30.260000,28.017529,131000
2021-06-07,30.520000,30.549999,30.330000,30.480000,28.221226,145100
2021-06-08,30.510000,30.750000,30.400000,30.700001,28.424921,278300
2021-06-09,30.420000,30.820000,30.420000,30.750000,28.471216,189100
2021-06-10,30.549999,30.680000,30.459999,30.530001,28.267519,204300
2021-06-11,30.580000,30.639999,30.480000,30.620001,28.350851,87100
2021-06-14,30.580000,30.629999,30.440001,30.500000,28.239742,185300
2021-06-15,30.520000,30.750000,30.469999,30.620001,28.350851,198300
2021-06-16,30.950001,31.049999,30.490000,30.700001,28.424921,119500
2021-06-17,30.570000,30.750000,30.400000,30.680000,28.406404,81700
2021-06-18,30.070000,30.110001,29.740000,30.000000,27.776798,142400
2021-06-21,29.959999,30.549999,29.940001,30.490000,28.230484,181200
2021-06-22,30.240000,30.549999,30.139999,30.549999,28.286036,385000
2021-06-23,30.490000,30.500000,30.090000,30.160000,27.924942,77400
2021-06-24,29.879999,30.190001,29.840000,30.080000,27.850868,62000
2021-06-25,29.879999,30.139999,29.830000,30.040001,27.813833,66500
2021-06-28,29.750000,29.750000,29.440001,29.440001,27.258297,196800
2021-06-29,29.440001,29.440001,29.200001,29.420000,27.239779,78400
2021-06-30,29.160000,29.370001,29.070000,29.270000,27.100893,70000
2021-07-01,29.120001,29.379999,29.090000,29.379999,27.202744,26200
2021-07-02,29.309999,29.510000,29.080000,29.430000,27.249037,66500
2021-07-06,29.430000,29.500000,29.170000,29.440001,27.258297,107600
2021-07-07,29.290001,29.709999,29.280001,29.600000,27.406439,145100
2021-07-08,29.520000,29.670000,29.430000,29.660000,27.461992,109500
2021-07-09,30.110001,30.260000,29.940001,30.170000,27.934200,116100
2021-07-12,30.110001,30.270000,30.000000,30.000000,27.776798,98200
2021-07-13,30.110001,30.240000,30.000000,30.000000,27.776798,113200
2021-07-14,30.000000,30.230000,30.000000,30.080000,27.850868,39300
2021-07-15,29.730000,29.889999,29.690001,29.740000,27.536064,128500
2021-07-16,30.180000,30.209999,29.870001,29.879999,27.665689,52700
2021-07-19,29.320000,29.320000,28.950001,29.260000,27.091637,102900
2021-07-20,29.150000,29.750000,29.100000,29.750000,27.545322,399000
2021-07-21,30.059999,30.180000,29.969999,30.139999,27.906422,471300
2021-07-22,30.180000,30.250000,29.990000,30.129999,27.897163,106700
2021-07-23,30.540001,30.709999,30.410000,30.510000,28.249002,60000
2021-07-26,30.650000,30.850000,30.610001,30.719999,28.443439,92500
2021-07-27,30.850000,31.150000,30.809999,31.150000,28.841572,350600
2021-07-28,31.410000,31.410000,31.190001,31.250000,28.934166,94300
2021-07-29,32.500000,32.540001,32.060001,32.150002,29.767467,68300
2021-07-30,32.279999,32.529999,32.139999,32.320000,29.924870,1685700
2021-08-02,32.570000,33.000000,32.549999,32.770000,30.341524,461300
2021-08-03,32.389999,32.630001,32.209999,32.610001,30.193377,740400
2021-08-04,32.430000,32.709999,32.279999,32.560001,30.147083,219700
2021-08-05,32.520000,32.590000,32.110001,32.500000,30.091530,99300
2021-08-06,32.500000,32.500000,32.139999,32.270000,29.878574,70500
2021-08-09,31.980000,31.980000,31.799999,31.900000,29.535994,189000
2021-08-10,31.610001,32.049999,31.610001,31.799999,29.443405,333700
2021-08-11,32.119999,32.509998,32.070000,32.360001,29.961906,173700
2021-08-12,32.290001,32.349998,32.209999,32.290001,29.897093,82700
2021-08-13,32.549999,32.590000,32.290001,32.490002,30.082273,72300
2021-08-16,32.349998,32.540001,32.290001,32.490002,30.082273,138700
2021-08-17,31.990000,32.250000,31.860001,31.879999,29.517475,50700
2021-08-18,32.000000,32.040001,31.600000,31.600000,29.258224,80400
2021-08-19,31.799999,31.799999,31.270000,31.309999,28.989717,55900
2021-08-20,31.240000,31.910000,31.240000,31.670000,29.323038,86400
2021-08-23,31.650000,31.799999,31.629999,31.780001,29.424889,32100
2021-08-24,31.469999,31.930000,31.340000,31.730000,29.378593,41300
2021-08-25,31.559999,31.600000,31.360001,31.559999,29.221189,320300
2021-08-26,31.420000,31.459999,31.299999,31.410000,29.082306,101500
2021-08-27,31.360001,31.780001,31.280001,31.730000,29.378593,39900
2021-08-30,31.270000,31.889999,31.270000,31.600000,29.258224,52200
2021-08-31,31.719999,31.719999,31.430000,31.580000,29.239710,49100
2021-09-01,31.650000,31.660000,31.400000,31.410000,29.082306,70600
2021-09-02,31.450001,31.770000,31.450001,31.549999,29.211931,69400
2021-09-03,31.490000,31.700001,31.440001,31.559999,29.221189,82200
2021-09-07,31.070000,31.070000,30.860001,30.870001,28.582325,93700
2021-09-08,30.920000,30.920000,30.660000,30.770000,28.489737,83300
2021-09-09,31.070000,31.219999,30.799999,30.900000,28.610102,55400
2021-09-10,31.090000,31.090000,30.670000,30.709999,28.434179,94300
2021-09-13,30.780001,30.959999,30.770000,30.900000,28.610102,721100
2021-09-14,31.129999,31.129999,30.670000,30.740000,28.461958,211600
2021-09-15,30.639999,30.719999,30.559999,30.629999,28.360109,119800
2021-09-16,30.840000,30.879999,30.549999,30.719999,28.443439,83600
2021-09-17,31.330000,31.410000,30.790001,30.950001,28.656397,159800
2021-09-20,30.730000,30.889999,30.340000,30.639999,28.369370,163700
2021-09-21,30.639999,30.780001,30.400000,30.620001,28.350851,137200
2021-09-22,30.930000,31.170000,30.809999,30.809999,28.526768,171900
2021-09-23,31.059999,31.180000,30.850000,31.120001,28.813797,159800
2021-09-24,31.040001,31.160000,30.840000,30.950001,28.656397,111700
2021-09-27,31.370001,31.450001,31.219999,31.219999,28.906385,88400
2021-09-28,30.980000,31.010000,30.660000,30.770000,28.489737,123200
2021-09-29,30.879999,30.959999,30.610001,30.790001,28.508255,155600
