Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,5.000000,5.010000,4.910000,4.940000,4.227951,5275400
2021-01-05,4.960000,5.050000,4.950000,5.020000,4.296420,1963000
2021-01-06,5.230000,5.360000,5.230000,5.310000,4.544619,3688600
2021-01-07,5.310000,5.350000,5.280000,5.300000,4.536061,3531300
2021-01-08,5.270000,5.280000,5.190000,5.260000,4.501826,4418800
2021-01-11,5.130000,5.240000,5.120000,5.230000,4.476150,4568100
2021-01-12,5.180000,5.210000,5.150000,5.180000,4.433357,5291500
2021-01-13,5.140000,5.160000,5.090000,5.120000,4.382005,2767300
2021-01-14,5.060000,5.100000,5.050000,5.070000,4.339212,1780600
2021-01-15,5.000000,5.030000,4.860000,4.950000,4.236509,2596700
2021-01-19,4.950000,4.950000,4.880000,4.920000,4.210834,2413700
2021-01-20,4.900000,4.950000,4.860000,4.940000,4.227951,1418400
2021-01-21,4.970000,4.990000,4.890000,4.920000,4.210834,2126400
2021-01-22,4.920000,4.950000,4.840000,4.880000,4.176599,3992300
2021-01-25,4.770000,4.800000,4.690000,4.790000,4.099572,3379100
2021-01-26,4.810000,4.860000,4.790000,4.810000,4.116689,2496700
2021-01-27,4.710000,4.710000,4.590000,4.600000,3.936959,3435500
2021-01-28,4.760000,4.810000,4.740000,4.790000,4.099572,2068000
2021-01-29,4.640000,4.680000,4.560000,4.580000,3.919841,3489400
2021-02-01,4.600000,4.600000,4.530000,4.540000,3.885607,2260700
2021-02-02,4.720000,4.850000,4.710000,4.840000,4.142365,3044700
2021-02-03,4.800000,4.890000,4.760000,4.880000,4.176599,3592000
2021-02-04,5.120000,5.200000,5.120000,5.170000,4.424798,2905600
2021-02-05,5.290000,5.310000,5.240000,5.290000,4.527502,3097400
2021-02-08,5.360000,5.440000,5.360000,5.420000,4.638764,2582200
2021-02-09,5.290000,5.310000,5.260000,5.280000,4.518943,2988900
2021-02-10,5.370000,5.400000,5.270000,5.280000,4.518943,1649100
2021-02-11,5.260000,5.310000,5.250000,5.310000,4.544619,1166300
2021-02-12,5.260000,5.340000,5.260000,5.320000,4.553178,1490900
2021-02-16,5.420000,5.460000,5.370000,5.440000,4.655881,1766800
2021-02-17,5.340000,5.380000,5.300000,5.380000,4.604529,1966300
2021-02-18,5.390000,5.420000,5.350000,5.380000,4.604529,2188100
2021-02-19,5.430000,5.500000,5.430000,5.450000,4.664440,1568400
2021-02-22,5.370000,5.460000,5.370000,5.410000,4.630206,2275300
2021-02-23,5.590000,5.610000,5.500000,5.570000,4.767143,3254800
2021-02-24,5.570000,5.660000,5.560000,5.660000,4.844170,1793000
2021-02-25,5.820000,5.860000,5.630000,5.650000,4.835611,6346600
2021-02-26,5.600000,5.600000,5.510000,5.570000,4.767143,3998200
2021-03-01,5.540000,5.570000,5.510000,5.550000,4.750026,2144100
2021-03-02,5.510000,5.550000,5.480000,5.530000,4.732909,1923900
2021-03-03,5.580000,5.680000,5.560000,5.600000,4.792819,2598100
2021-03-04,5.610000,5.660000,5.500000,5.560000,4.758584,2883700
2021-03-05,5.720000,5.730000,5.590000,5.720000,4.895522,3122800
2021-03-08,5.710000,5.740000,5.670000,5.730000,4.904080,3436100
2021-03-09,5.560000,5.650000,5.490000,5.620000,4.809936,2888200
2021-03-10,5.610000,5.650000,5.530000,5.630000,4.818494,4172400
2021-03-11,5.560000,5.650000,5.530000,5.630000,4.818494,4703000
2021-03-12,5.710000,5.760000,5.670000,5.760000,4.929757,1699000
2021-03-15,5.680000,5.710000,5.550000,5.650000,4.835611,2268000
2021-03-16,5.630000,5.630000,5.530000,5.600000,4.792819,2064100
2021-03-17,5.710000,5.750000,5.650000,5.730000,4.904080,4070400
2021-03-18,5.720000,5.840000,5.670000,5.680000,4.861287,5420000
2021-03-19,5.590000,5.620000,5.540000,5.580000,4.775702,2707300
2021-03-22,5.210000,5.210000,5.140000,5.160000,4.416240,3796800
2021-03-23,5.160000,5.190000,5.080000,5.100000,4.364888,3336200
2021-03-24,5.140000,5.220000,5.130000,5.150000,4.407681,2432000
2021-03-25,5.080000,5.170000,5.040000,5.150000,4.407681,2760600
2021-03-26,5.240000,5.280000,5.210000,5.250000,4.493268,1797900
2021-03-29,5.220000,5.260000,5.140000,5.170000,4.424798,2518800
2021-03-30,5.250000,5.300000,5.240000,5.280000,4.518943,1886300
