Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,110.500000,110.940002,108.650002,109.580002,107.378632,853900
2021-01-05,108.919998,111.190002,108.919998,111.050003,108.819107,744900
2021-01-06,110.919998,113.919998,110.419998,112.970001,110.700523,983700
2021-01-07,113.500000,113.760002,112.300003,113.730003,111.445259,799600
2021-01-08,114.190002,116.110001,114.000000,116.059998,113.728439,618200
2021-01-11,115.169998,116.160004,113.919998,114.050003,111.758835,968000
2021-01-12,114.000000,114.339996,112.599998,114.070000,111.778427,606600
2021-01-13,114.639999,114.849998,113.349998,113.650002,111.366859,587100
2021-01-14,113.779999,114.160004,112.150002,112.370003,110.112587,548600
2021-01-15,111.680000,112.089996,110.290001,111.580002,109.338455,494100
2021-01-19,111.610001,112.349998,109.660004,109.680000,107.476608,587500
2021-01-20,109.980003,110.389999,109.029999,110.129997,107.917564,561900
2021-01-21,110.459999,110.690002,108.199997,108.260002,106.085144,586500
2021-01-22,108.190002,108.400002,106.540001,106.620003,104.478096,666600
2021-01-25,106.629997,108.440002,106.199997,107.989998,105.820564,1005300
2021-01-26,109.589996,109.589996,107.000000,107.190002,105.036644,989200
2021-01-27,104.849998,105.769997,101.099998,101.320000,99.284569,1434900
2021-01-28,102.089996,105.279999,100.779999,104.019997,101.930321,1637900
2021-01-29,103.370003,103.820000,101.029999,101.169998,99.137581,1281800
2021-02-01,102.180000,102.889999,101.250000,102.419998,100.362473,1230300
2021-02-02,102.959999,105.839996,102.959999,105.680000,103.556976,774900
2021-02-03,105.680000,106.080002,104.550003,104.620003,102.518272,661700
2021-02-04,104.820000,104.860001,103.900002,104.389999,102.292892,1137600
2021-02-05,105.540001,106.279999,104.750000,106.110001,103.978333,1164600
2021-02-08,106.230003,106.559998,105.199997,106.370003,104.233109,722000
2021-02-09,106.550003,107.550003,106.139999,107.209999,105.056236,1169200
2021-02-10,107.779999,107.879997,106.089996,106.570000,104.429100,641300
2021-02-11,106.830002,109.400002,106.830002,108.180000,106.006752,849500
2021-02-12,107.910004,110.669998,107.599998,110.620003,108.397736,782400
2021-02-16,111.089996,111.430000,109.480003,110.129997,107.917564,816100
2021-02-17,109.660004,109.750000,108.400002,108.930000,106.741684,563800
2021-02-18,108.510002,108.510002,106.820000,108.019997,105.849960,676300
2021-02-19,108.489998,109.540001,108.239998,109.080002,106.888680,852600
2021-02-22,108.570000,108.760002,107.309998,107.379997,105.222816,934500
2021-02-23,107.339996,109.410004,106.910004,108.910004,106.722092,1034300
2021-02-24,108.480003,110.989998,107.629997,110.660004,108.436928,743900
2021-02-25,110.610001,112.750000,110.610001,110.660004,108.436928,1052400
2021-02-26,110.620003,110.620003,108.629997,109.320000,107.123856,1515300
2021-03-01,110.470001,112.220001,110.410004,111.900002,109.652023,1110600
2021-03-02,112.260002,113.309998,111.360001,111.949997,109.701012,1140600
2021-03-03,111.949997,112.099998,110.739998,111.470001,109.230667,1090400
